"FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL1.A","FL1.W","Time","Gate"
457,241,654,123,353,81,15,598,2
118,111,129,98,62,0,0,598,1
227,353,243,192,136,0,0,598,1
173,218,231,76,28,0,0,598,1
330,582,311,267,143,0,0,598,1
207,227,207,162,66,0,0,598,1
130,117,212,112,210,0,0,598,1
68,169,15,0,9,0,0,598,-1
464,424,328,216,358,0,0,598,1
340,460,249,23,363,0,0,598,1
124,149,445,129,83,9,0,598,1
678,327,274,196,259,0,0,598,-1
722,443,871,218,714,675,279,598,2
277,1023,398,355,120,4,0,598,-1
